334,Fall,Tu,Sep,29,12,12,36
335,Summer,M  Tu  W  Th  F,Jul,20,10,1,5
336,Spring,Sa,Apr,11,14,9,4.5
337,Summer,Su  M  Tu  W  Th  F  Sa,Jun,26,13,11,66
338,Spring,F,Apr,10,11,9,9
339,Fall,W,Sep,30,11,12,18
340,Winter,Sa,Jan,3,8,10,10
341,Fall,Tu  Th,Sep,29,18,9,18
342,Spring,M  W  F,Mar,30,19,12,78.75
343,Fall,W,Sep,30,12,12,30
344,Spring,Sa,Mar,28,9,11,13.75
345,Fall,F,Sep,25,10,9,6.75
346,Summer,Sa,Jul,4,11,8,2
347,Summer,M  Tu  W  Th  F,Jul,13,9,2,70
348,Fall,F,Oct,2,20,9,13.5
349,Winter,Sa,Feb,7,13,4,12
350,Fall,Tu,Oct,6,17,13,13
351,Winter,Su,Jan,4,10,10,15
352,Fall,Su,Oct,4,15,10,17.5
353,Spring,Su,Mar,29,16,9,27
354,Spring,Sa,Apr,4,16,11,8.25
355,Fall,Tu,Sep,29,17,36,72
356,Fall,W,Sep,30,19,9,22.5
357,Winter,Sa,Jan,10,9,9,54
358,Fall,Th,Oct,1,20,10,20
359,Fall,Sa,Sep,26,17,9,22.5
360,Spring,Tu  W  F,Mar,17,18,13,114
361,Summer,Su  M  Tu  F  Sa,Sep,14,19,2,11.33333302
362,Fall,W,Oct,21,10,3,3
363,Fall,Su  Th  Sa,Nov,28,12,6,29.5
364,Fall,Su  Sa,Nov,28,9,4,8
365,Winter,Tu,Jan,6,13,12,18
366,Spring,Tu  Th,Mar,26,18,5,6.75
367,Spring,Sa,May,23,19,1,1
368,Spring,M  F,Mar,30,19,9,18
369,Spring,Sa,Mar,28,11,7,10.5
370,Fall,M,Oct,19,16,9,4.5
371,Fall,M  W,Sep,28,18,12,57.5
372,Winter,Su,Jan,25,10,7,7
373,Spring,Tu,Mar,31,19,8,12
374,Winter,M,Jan,5,13,11,30
375,Fall,Tu  W  Th,Dec,22,12,2,22.5
376,Winter,W  Sa,Jan,17,9,20,10
377,Winter,Th,Jan,8,9,9,18
378,Spring,Sa,Mar,28,12,8,12
379,Spring,M,Mar,30,13,10,25
380,Spring,Tu  W  Th,Apr,1,18,3,6
381,Fall,Tu,Sep,22,13,9,9
382,Fall,W,Sep,30,17,11,13.75
383,Fall,Th,Oct,8,18,9,9
384,Spring,F,Apr,10,13,9,2.25
385,Fall,W,Oct,28,17,1,1
386,Spring,Th,Apr,2,14,9,6.75
387,Fall,Sa,Oct,17,10,4,10
388,Winter,Su,Jan,11,10,11,12
389,Fall,M,Oct,19,16,11,11
390,Fall,Tu,Sep,29,13,9,4.5
391,Summer,M  W,Aug,5,19,5,9
392,Fall,M,Sep,28,20,11,10
393,Winter,Th,Jan,8,18,10,25
394,Winter,Su  F  Sa,Jan,9,16,12,66
395,Spring,M  Tu  W  Th  F,Mar,30,11,13,55.5
396,Fall,Su  M  Tu  W  Th  F,Dec,6,20,3,43
397,Spring,F  Sa,Apr,10,13,12,28
398,Winter,Su,Jan,25,9,7,7
399,Summer,W,Jul,8,13,8,4
400,Summer,M  Tu  W  Th  F,Jun,29,16,9,75.25
401,Spring,W,Mar,25,19,5,5
402,Summer,Tu  Th,Jul,7,19,4,12
403,Winter,Su  Sa,Jan,10,18,12,52.5
404,Fall,Tu,Sep,29,16,9,2.25
405,Fall,Su,Sep,27,15,6,8
406,Spring,W,Apr,15,17,9,6.75
407,Winter,Tu,Jan,6,12,12,36
408,Fall,W,Sep,30,21,9,13.5
409,Spring,Th,Apr,9,13,9,6.75
410,Fall,F,Oct,2,13,9,18
411,Fall,Su,Oct,4,13,12,12
412,Summer,Th,Jul,2,17,9,18
413,Spring,Tu,Mar,31,19,10,5
414,Winter,Tu,Jan,6,19,12,16.5
415,Summer,Tu,Jul,7,17,9,18
416,Winter,Tu,Jan,6,9,11,33
417,Spring,W,Apr,1,18,9,27
418,Fall,Th,Oct,1,17,9,11.25
419,Fall,M,Sep,21,10,9,13.5
420,Winter,Tu  W,Jan,6,17,11,22
421,Fall,F,Oct,2,18,9,24.75
422,Spring,W,Apr,8,18,13,24
423,Summer,Tu  W  F,Jun,30,13,10,29
424,Fall,Su  M  W  Sa,Nov,30,16,5,38.75
425,Spring,Th,Apr,9,18,12,18
426,Fall,M,Sep,21,18,9,6.75
427,Fall,M,Oct,26,15,9,18
428,Summer,Su  M  Tu  W  Th  F  Sa,Jun,26,11,11,490
429,Spring,Su,Apr,5,9,9,4.5
430,Winter,Th,Jan,8,9,11,11
431,Spring,M,Mar,30,17,10,5
432,Winter,M  Tu  W  F,Mar,16,12,1,4
433,Winter,W,Jan,7,19,8,16
434,Fall,Th,Oct,15,19,9,13.5
435,Summer,M  W  Th,Jul,27,20,3,4.5
436,Summer,Sa,Jun,20,13,9,4.5
437,Summer,M,Jun,29,9,10,10
438,Fall,Th,Oct,15,16,9,6.75
439,Fall,Sa,Oct,3,13,10,30
440,Spring,M  Tu  Th  F,Mar,30,18,9,82.5
441,Fall,Su,Sep,27,10,9,2.25
442,Spring,Su,Mar,29,12,9,8
443,Fall,Th,Oct,15,19,9,9
444,Summer,Tu,Jul,7,18,9,18
445,Fall,F,Sep,25,17,9,6.75
446,Winter,Th,Jan,8,13,10,20
447,Winter,Su  Tu  Th  Sa,Jan,6,12,13,41.16666794
448,Fall,Th,Oct,8,17,8,10
449,Fall,Th,Oct,1,16,10,20
450,Winter,W  Th,Jan,7,12,11,50
451,Spring,Sa,Apr,18,13,4,12
452,Fall,Su  M  Tu  W  Th  F  Sa,Nov,28,22,3,27
453,Fall,Tu,Sep,22,17,9,6.75
454,Fall,F,Oct,2,19,9,6.75
455,Spring,Th,Apr,2,16,6,12
456,Winter,W,Mar,18,19,1,2
457,Spring,M,May,4,17,8,6
458,Fall,M,Oct,5,16,9,13.5
459,Spring,Th,Apr,2,16,9,6.75
460,Winter,W,Jan,7,17,9,18
461,Spring,Tu,Apr,14,13,9,9
462,Spring,M,Mar,30,13,9,9
463,Winter,F,Jan,9,13,10,20
464,Fall,Su,Sep,27,12,14,45.5
465,Summer,Th,Jul,2,20,12,18
466,Winter,F,Jan,9,17,9,22.5
467,Spring,F,Apr,10,17,9,16
468,Fall,M  Tu  W  Th  F,Nov,30,9,5,90
469,Winter,Sa,Jan,10,11,6,9
470,Fall,Th,Oct,1,18,9,11.25
471,Fall,Sa,Oct,3,19,9,13.5
472,Fall,Sa,Oct,3,9,9,18
473,Summer,M  W  F,Jun,29,13,9,26.25
474,Winter,M  W,Jan,5,16,9,38.5
475,Winter,Su,Jan,11,10,10,25
476,Winter,Th,Jan,8,9,10,10
477,Spring,Sa,Apr,25,9,9,4.5
478,Summer,Tu,Sep,1,13,1,2
479,Spring,Su,Apr,5,13,12,48
480,Winter,F,Jan,9,19,9,2.25
481,Fall,Sa,Sep,26,11,9,11.25
482,Winter,Th,Jan,8,17,9,4.5
483,Summer,W,Jun,24,18,9,6
484,Summer,M  Tu  W  Th  F,Aug,10,10,2,2.25
485,Summer,Su  M  Tu  W  Th  F  Sa,Jun,26,13,11,99.5
486,Winter,Su  F  Sa,Jan,3,15,15,87
487,Summer,Su  M  Tu  W  Th  F  Sa,Jun,26,14,11,169.3333282
488,Winter,Sa,Jan,10,11,11,11
489,Summer,Tu,Jun,30,13,11,11
490,Winter,Tu,Jan,6,15,10,15
491,Winter,M,Jan,5,9,16,32
492,Summer,M  Tu  W  Th  F,Jul,27,8,1,45
493,Winter,W,Jan,14,19,9,9
494,Fall,Sa,Oct,3,11,9,2
495,Fall,Tu,Oct,6,18,9,13.5
496,Spring,Tu,Mar,24,9,9,4.5
497,Fall,M  Tu  Th,Sep,21,10,15,69
498,Winter,Th,Jan,22,11,11,11
499,Summer,F,Jul,3,12,13,32.5
500,Winter,F,Jan,9,20,11,16.5
501,Fall,W,Sep,30,13,10,20
502,Spring,Su,Jun,14,9,6,6
503,Summer,Th,Jul,2,18,10,10
504,Summer,M,Jun,29,9,9,18
505,Winter,M,Jan,12,18,11,11
506,Summer,W,Jul,8,19,9,6.75
507,Summer,Su  M  Tu  W  Th  F  Sa,Jun,26,11,11,315
508,Spring,M  W  F  Sa,Mar,28,14,12,62
509,Spring,M,Mar,30,18,9,6
510,Fall,F,Oct,16,20,10,20
511,Summer,M,Jul,6,19,12,16.25
512,Winter,F,Jan,9,9,11,12
513,Winter,Tu  Th,Feb,10,18,4,3.5
514,Winter,Su  F  Sa,Jan,9,19,12,32.08333206
515,Fall,Su  M  Tu  W  Th  F  Sa,Dec,28,17,1,13.5
516,Fall,Su  M  Tu  W  Th  Sa,Dec,21,9,2,51.5
517,Winter,M,Jan,12,18,10,11
518,Spring,M  Tu  W  Th  F,Jun,15,9,1,10
519,Spring,Sa,Apr,4,18,6,18
520,Winter,M  Tu  Th,Jan,5,16,12,64
521,Spring,Su,Apr,12,21,9,13.5
522,Summer,M  Tu  W  Th  F,Aug,17,9,2,63
523,Winter,W,Jan,7,19,10,15
524,Spring,Tu  Th,Mar,31,20,9,18
525,Fall,Su,Oct,4,15,9,27
526,Fall,W,Sep,23,15,9,22.5
527,Winter,Su  M  Tu  W  Th  F  Sa,Jan,6,9,13,1034
528,Fall,Th,Oct,1,18,10,24.25
529,Summer,Sa,Sep,12,13,3,4.25
530,Summer,Th,Jul,2,10,9,9
531,Spring,Tu  Th,Mar,31,8,13,351
532,Winter,Tu,Jan,6,19,10,10
533,Fall,Tu,Sep,29,18,9,4.5
534,Winter,F,Jan,16,13,9,13.5
535,Fall,F,Oct,2,10,9,27
536,Winter,Su  Sa,Jan,3,18,13,18.75
537,Spring,Tu  Th  F,Mar,24,16,9,52
538,Fall,W,Sep,30,9,9,13.5
539,Winter,Sa,Jan,3,14,9,13.5
540,Spring,W,Apr,1,9,10,20
541,Spring,Tu,Mar,31,9,9,6.75
542,Summer,M  Tu  W  Th  F,Jun,29,14,9,172
543,Winter,Tu  W,Jan,6,16,9,45
544,Winter,Su  F,Dec,28,12,13,38
545,Summer,M  Tu  Th  F,Jun,30,10,2,3.5
546,Spring,Su  M  Tu  W  Th  F,Mar,29,15,14,157.5
547,Winter,Th,Jan,8,16,12,8.25
548,Fall,W,Sep,23,18,9,2.25
