Irving W Chapley Community Centre,M3H 6B3,10
Flagstaff Park - Outdoor Pool,M9W 3H5,2
Selwyn ES,M4B 3J9,31
Norseman Community School And Pool,M8Z 2R1,5
Pelmo Park Community Centre,M9N 2P5,11
Baird Park,M6P 2K4,14
Riverdale Park West,M5A 2H3,28
Sackville Playground,M5A 1L4,28
Silver Springs ES,M1V 1S4,39
Humber Community Pool - Indoor Pool,M9W 5L7,1
Regent Park Aquatic Centre,M5A 2B8,28
Wallace-Emerson Community Centre,M6H 4C3,18
Scarborough Civic Centre,M1P 4N7,38
David Appleton Community Recreation,M9N 1T4,11
Vine Avenue Playground,M6P 1V9,13
St. Aidan CS,M1W 2S2,40
John Booth Arena,M3N 2H1,8
Etobicoke Civic Centre,M9C 2Y2,3
Herbert H.Carnegie Centennial Centre,M2R 1N7,10
Osler Playground,M6J 1N7,19
Van Horne Park,M2J 4S8,33
St. Gabriel CS,M2N 3H5,23
Bendale Business Technical Institute,M1P 3C1,37
Leaside Outdoor Pool,M4H 1A1,26
McCormick Park,M6K 2G9,18
Smithfield CS,M9V 2E3,1
Bedford Park Community Centre,M4N 1X2,25
West Acres Seniors Centre,M9W 6Z8,2
Wallace Emerson Park,M6H 4C3,18
Humbercrest ES,M6S 2H7,13
Glen Long Community Centre,M6B 2M1,15
Kempton Howard Park,M4J 3C9,30
Hillcrest Community Centre,M5R 3H6,21
Rockcliffe MS,M6N 4R8,11
Edithvale Community Centre,M2N 2H8,23
Eringate Park - Outdoor Pool,M9C 4R8,3
Sunnyside - Gus Ryder Outdoor Pool,M6S 5A3,13
Healey Willan Park,M6G 2T1,19
Ravina Gardens,M1P 4N7,13
Marie Curtis Park,M8W 3P2,6
Summerlea Rink - Outdoor Artifical Ice,M9W 2N7,2
Domenico DiLuca Community Centre,M3N 1C2,7
Antibes Community Centre,M2R 3J3,10
Milliken Park Community Recreation,M1V 4P1,41
Margaret Fairley Park,M5S 2M2,20
Lawrence Heights Community Centre,M6A 2M8,15
Maryvale JES,M1R 2J1,37
St. Nicholas of Bari CSS,M6E 1R6,17
Driftwood Community Recreation Centre,M3N 2K3,8
Fairbank Memorial Park,M6E 2A8,15
Don Mills Civitan Arena,M3C 1W6,25
Golf Road ES,M1G 1H7,38
Humbercrest United Church,M6S 2E9,13
Oakdale Community Centre,M3N 1J4,8
East Lynn Park,M4C 1J4,32
East Toronto Athletic Field,M1P 4N7,32
East York Community Centre,M4K 3W4,29
Gosford PS,M3N 2G8,8
Terry Fox ES,M1W 3M9,39
York Mills Collegiate Institute,M3B 1W6,25
Georges Vanier Secondary School,M2J 3B6,33
Dennis R.Timbrell Resource Centre,M3C 3J3,26
Birkdale Community Centre,M1P 2Y2,37
Downsview Arena,M3L 1A5,7
Camp Naorca / FVOEC,M3H 4W5,23
Pine Point Arena,M9W 3R2,2
Close Avenue Parkette,M6K 1H6,14
Centennial Park - Etobicoke,M9C 5N3,3
O'Connor Community Centre,M4A 2L8,34
Power House Recreation Centre,M8V 4B6,6
Chalkfarm Community Centre,M3L 2H8,7
Ancaster Community Centre,M3K 1S7,9
Parkdale Community Recreation Centre,M6K 2W1,14
Davisville Public School,M4S 1J6,22
Daystrom PS,M9M 2A8,7
St. Paschal Baylon CSS,M2M 1X6,23
St. Wilfrid Elementary School,M3J 2G8,8
McGregor Park Community Centre,M1P 2P5,37
Vradenburg ES,M1T 2M5,40
Sunnylea Park,M8Y 3X1,5
Humber Valley Rink - Outdoor,M9A 3B5,4
Mimico Arena,M8V 1Y7,6
Broadacres Park,M9C 3B7,3
Topcliff PS,M3N 1L6,8
George B Little Junior Elementary School,M1G 3G9,43
Geary Avenue Parkette,M6H 2B3,17
Sumach - Shuter Parkette,M5A 1X9,28
Westgrove Park - Outdoor Pool,M9R 3T9,4
Maurice Cody Community Centre,M4S 3C1,22
Roding Community Centre,M3M 2A5,9
Amos Waites Park - Outdoor Pool,M8V 1C5,6
Dennis Avenue Community School,M6N 2T7,11
Berner Trail Community Centre,M1B 1B3,42
Our Lady of the Assumption CS,M6B 3C2,15
John English CS,M8V 1R4,6
Westgrove Park,M9R 3T9,4
Prince Of Wales Park,M8V 2X5,6
Colonel Samuel Smith Park,M8V 1L4,6
Adam Beck Community Centre,M4E 3L8,32
Seneca Village Community Centre,M2J 4X8,24
